Organization Group,Job,Total Compensation
Culture & Recreation,Arborist Technician,42178.52
Public Protection,Attorney (Civil/Criminal),157251.74
Community Health,Medical Records Technician,97746.0
Public Protection,Police Officer 3,221927.39
Public Protection,Firefighter,173777.79
Community Health,Registered Nurse,157988.63
Community Health,Manager IV,213994.71
Public Protection,Police Officer 3,179427.26
Community Health,Administrative Analyst,77462.03
"Public Works, Transportation & Commerce",Automotive Machinist,145175.47
Human Welfare & Neighborhood Development,Senior Eligibility Worker,64494.8
Public Protection,Police Officer 3,184337.47
General Administration & Finance,General Laborer,82951.13
"Public Works, Transportation & Commerce",Transit Operator,111021.44
Community Health,Senior Clerk,87273.05
Community Health,Registered Nurse,107976.42
"Public Works, Transportation & Commerce",Electrical Transit System Mech,173171.53
"Public Works, Transportation & Commerce",Chemist I/II,138430.88
Community Health,Nursing Assistant,103712.69
General Administration & Finance,IS Engineer-Senior,182375.64
Community Health,Stationary Engineer,136950.51
Public Protection,Deputy Sheriff (SFERS),141147.93
Human Welfare & Neighborhood Development,Social Work Supervisor,128983.61
Public Protection,Sheriff's Cadet,19072.0
"Public Works, Transportation & Commerce",Administrative Analyst,125257.33
General Administration & Finance,Fire Alarm Dispatcher,114149.92
"Public Works, Transportation & Commerce",Automotive Mechanic,156654.81
Public Protection,"Inspector, (Police Department)",201836.88
Community Health,"Marriage, Family & Child Cnslr",107399.33
Culture & Recreation,Custodial Assistant Supervisor,101035.75
Community Health,Nurse Manager,270347.0
"Public Works, Transportation & Commerce",Custodian,15340.25
Public Protection,Bldgs & Grounds Maint Supt,187324.28
Culture & Recreation,Recreation Leader,22963.3
Public Protection,Police Officer,53556.96
"Public Works, Transportation & Commerce",Custodial Assistant Supervisor,94574.84
Public Protection,Police Officer,41355.36
"Public Works, Transportation & Commerce","Manager III, MTA",132994.58
Community Health,Special Nurse,101868.65
Community Health,Pharmacist,172545.88
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",34793.52
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",19144.41
Community Health,Nursing Supervisor,312297.18
Public Protection,Da Investigative Assist,97332.9
Community Health,Nurse Practitioner,251122.27
"Public Works, Transportation & Commerce",Water Operations Analyst,181444.11
Human Welfare & Neighborhood Development,Senior Eligibility Worker,111495.37
"Public Works, Transportation & Commerce",Trans And Dist Line Worker,162448.59
"Public Works, Transportation & Commerce",Painter Supervisor 1,143536.83
Public Protection,Police Officer 3,11975.85
Community Health,Health Care Analyst,54716.79
"Public Works, Transportation & Commerce",Executive Secretary 2,117417.79
Public Protection,Police Officer 3,190398.97
Culture & Recreation,Library Page,43897.8
General Administration & Finance,Project Manager 1,176765.77
Public Protection,Sergeant 3,164880.88
Community Health,Medical Records Technician,111561.38
"Public Works, Transportation & Commerce",IS Engineer-Assistant,151788.03
"Public Works, Transportation & Commerce",Transit Supervisor,180651.58
Culture & Recreation,Park Patrol Officer,72227.44
Community Health,Patient Care Assistant,66782.04
"Public Works, Transportation & Commerce",Accountant III,138772.41
Public Protection,Deputy Sheriff,183288.55
Community Health,Licensed Vocational Nurse,132092.23
Community Health,Clinical Pharmacist,189457.6
"Public Works, Transportation & Commerce",Transit Operator,42544.46
Community Health,Registered Nurse,127565.02
"Public Works, Transportation & Commerce",Custodian,86059.96
Human Welfare & Neighborhood Development,Emp & Training Spec 2,52376.36
Culture & Recreation,Library Page,41741.13
"Public Works, Transportation & Commerce",Transit Operator,84250.76
"Public Works, Transportation & Commerce",Transit Operator,42529.75
Public Protection,Firefighter,166728.35
General Administration & Finance,Manager IV,210833.57
General Administration & Finance,Custodian,79471.04
Community Health,Licensed Vocational Nurse,122315.8
"Public Works, Transportation & Commerce",Automotive Mechanic,159661.77
"Public Works, Transportation & Commerce",Transit Operator,110640.95
Public Protection,Community Police Services Aide,95884.51
"Public Works, Transportation & Commerce","Stdntdsgntrain3, Arch/Eng/Plng",10859.33
"Public Works, Transportation & Commerce",Automotive Service Worker,39330.16
Public Protection,Sergeant 3,214363.44
"Public Works, Transportation & Commerce",Stdntdsgn Train2/Arch/Eng/Plng,10924.5
Culture & Recreation,Library Page,45963.65
Public Protection,Firefighter,128255.88
"Public Works, Transportation & Commerce",Transit Operator,33068.12
Community Health,Clerk,78651.38
"Public Works, Transportation & Commerce",Planner 4,173448.85
Public Protection,Deputy Sheriff,208226.82
Community Health,Porter,86569.23
"Public Works, Transportation & Commerce",General Laborer,30625.79
Community Health,Dietitian,121812.89
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,27633.06
Community Health,Senior Physician Specialist,415456.65
"Public Works, Transportation & Commerce",Plumber Supervisor 1,132024.29
General Administration & Finance,Mayoral Staff X,27103.73
"Public Works, Transportation & Commerce",Senior Personnel Analyst,34789.56
General Administration & Finance,Senior Emp Relations Repres,48383.92
Public Protection,Community Police Services Aide,106212.6
"Public Works, Transportation & Commerce","Sr Statnry Eng, Wtr Treat Plnt",185050.16
General Administration & Finance,IS Business Analyst-Senior,58172.87
"Public Works, Transportation & Commerce",Transit Operator,64609.51
"Public Works, Transportation & Commerce",Transit Operator,77503.79
Culture & Recreation,Bldg & Grounds Patrol Officer,52220.07
General Administration & Finance,Assistant Chief Attorney 1,280672.88
Public Protection,"Sr Counselor, Juvenile Hall",155645.09
"Public Works, Transportation & Commerce",Carpenter,22375.47
General Administration & Finance,Senior Collections Officer,114522.46
Community Health,Health Worker 4,65995.38
"Public Works, Transportation & Commerce",Asst Engr,96720.5
"Public Works, Transportation & Commerce",Electr Maint Tech Asst Sprv,142732.99
"Public Works, Transportation & Commerce",Truck Driver,58675.88
Public Protection,Superior Court Judge,11876.5
"Public Works, Transportation & Commerce",Architectural Associate 1,260699.16
Public Protection,Deputy Sheriff,151477.62
Public Protection,IS Engineer-Principal,183733.59
Public Protection,Police Officer 3,232879.69
Human Welfare & Neighborhood Development,Senior Eligibility Worker,70779.04
Public Protection,IS Engineer-Journey,166333.94
Community Health,Licensed Vocational Nurse,131411.64
General Administration & Finance,Performance Analyst II,123406.44
"Public Works, Transportation & Commerce",Custodian,86056.19
Public Protection,Police Officer 3,104048.66
Culture & Recreation,IS Business Analyst-Principal,186713.68
Public Protection,Sheriff's Sergeant,195041.11
"Public Works, Transportation & Commerce",Airport Communications Disp,149571.34
Public Protection,Sergeant 3,212638.18
"Public Works, Transportation & Commerce","Stationary Eng, Sewage Plant",157028.21
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,31543.38
"Public Works, Transportation & Commerce",Airport Electrician,159051.96
Community Health,Porter,35132.06
General Administration & Finance,Mayoral Staff XI,146387.63
"Public Works, Transportation & Commerce","Sr Statnry Eng, Wtr Treat Plnt",94191.53
Public Protection,Inspector 3,207009.47
Community Health,Senior Clerk,79452.63
General Administration & Finance,Management Assistant,56055.34
Culture & Recreation,Museum Guard,17114.89
"Public Works, Transportation & Commerce",Transit Supervisor,147640.3
"Public Works, Transportation & Commerce",Junior Engineer,74435.03
"Public Works, Transportation & Commerce",Transit Operator,115101.08
Community Health,Special Nurse,65897.86
Community Health,Patient Care Assistant,93730.49
Public Protection,Deputy Sheriff (SFERS),70842.32
Culture & Recreation,Recreation Leader,16146.1
"Public Works, Transportation & Commerce",Parking Control Officer,90894.69
Public Protection,EMT/Paramedic/Firefighter,134361.87
Public Protection,Deputy Sheriff,165341.7
Community Health,Patient Care Assistant,96483.95
"Public Works, Transportation & Commerce",Asst Engr,141941.3
"Public Works, Transportation & Commerce",Accountant III,138812.46
"Public Works, Transportation & Commerce","Stationary Eng, Sewage Plant",109565.68
"Public Works, Transportation & Commerce",Housekeeper/Food Service Clnr,80286.46
General Administration & Finance,Accountant IV,142779.46
"Public Works, Transportation & Commerce",Meter Reader,96123.19
Community Health,Special Nurse,17256.18
Public Protection,EMT/Paramedic/Firefighter,126659.05
"Public Works, Transportation & Commerce","Sr Stationary Eng, Sew Plant",158480.48
General Administration & Finance,IS Programmer Analyst-Senior,143310.14
Public Protection,Public Safetycomm Disp,136587.22
"Public Works, Transportation & Commerce",General Utility Mechanic,130401.54
"Public Works, Transportation & Commerce",Carpenter,34660.54
Human Welfare & Neighborhood Development,Social Work Supervisor,115225.72
"Public Works, Transportation & Commerce",Automotive Mechanic,134750.69
"Public Works, Transportation & Commerce",Transit Operator,120137.53
Culture & Recreation,Custodian,89184.76
"Public Works, Transportation & Commerce",Parking Control Officer,83497.09
Culture & Recreation,Recreation Leader,18460.48
"Public Works, Transportation & Commerce",Asst Engr,141754.53
"Public Works, Transportation & Commerce",Pr Administrative Analyst,151599.8
Human Welfare & Neighborhood Development,Senior Clerk,15844.96
Community Health,Special Nurse,81677.35
Community Health,"Marriage, Family & Child Cnslr",133917.65
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,14398.53
"Public Works, Transportation & Commerce",Senior Clerk,43862.67
Culture & Recreation,Librarian 1,34895.25
"Public Works, Transportation & Commerce",PS Aide To Prof,53117.16
Public Protection,Firefighter,121651.66
"Public Works, Transportation & Commerce",Transit Operator,65984.79
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,227753.78
Public Protection,Community Police Services Aide,81649.26
Public Protection,Superior Court Judge,11708.01
"Public Works, Transportation & Commerce",Housekeeper/Food Service Clnr,83732.92
"Public Works, Transportation & Commerce",Manager IV,210090.7
"Public Works, Transportation & Commerce",Transit Operator,105582.65
Human Welfare & Neighborhood Development,Public Service Trainee,10322.89
"Public Works, Transportation & Commerce",Communications Dispatcher 1,21740.29
Community Health,Porter,80206.88
Culture & Recreation,Library Page,69534.42
Public Protection,Stationary Engineer,58921.27
"Public Works, Transportation & Commerce",Pr Administrative Analyst,19110.63
Community Health,Manager IV,218229.52
Culture & Recreation,Gardener,101178.31
"Public Works, Transportation & Commerce",Truck Driver,89266.04
Public Protection,Police Officer,170215.87
Human Welfare & Neighborhood Development,Manager II,183545.21
Community Health,Special Nurse,46026.93
Human Welfare & Neighborhood Development,Emp & Training Spec 2,52344.75
"Public Works, Transportation & Commerce",Transit Operator,105839.98
Public Protection,Assistant Inspector 3,194672.34
"Public Works, Transportation & Commerce",Transit Operator,54715.77
Community Health,Unit Clerk,61220.56
Public Protection,Fingerprint Technician 2,125821.19
"Public Works, Transportation & Commerce",Custodian,88120.57
"Public Works, Transportation & Commerce",Curator 3,45536.51
"Public Works, Transportation & Commerce",Assoc Engineer,40112.56
"Public Works, Transportation & Commerce",Airport Safety Officer,143132.77
Human Welfare & Neighborhood Development,Senior Eligibility Worker,18233.86
Community Health,Registered Nurse,140070.47
General Administration & Finance,"Head Atty, Civil & Criminal",266698.99
"Public Works, Transportation & Commerce",Transit Operator,17420.03
